,Area,Smart Phone,Multiple Devices,Wifi,Electricity Problem,Online/Offline
0,Town,no,no,yes,yes,Online
1,Village,no,yes,yes,no,Online
2,Village,yes,no,yes,no,Offline
3,Village,no,no,yes,no,Online
4,Village,yes,no,no,yes,Offline
5,Town,no,no,yes,no,Offline
6,Town,yes,no,yes,no,Online
7,Village,yes,no,no,no,Offline
8,Village,no,no,yes,no,Online
9,Village,no,no,no,yes,Online
10,Town,no,no,yes,yes,Offline
11,Town,no,yes,no,yes,Online
12,Village,yes,yes,yes,yes,Offline
13,Town,yes,yes,yes,yes,Online
14,Village,yes,no,no,no,Offline
15,Village,no,no,no,yes,Offline
16,Town,no,no,yes,yes,Online
17,Town,yes,yes,yes,yes,Online
18,Village,yes,no,no,yes,Online
19,Village,yes,yes,no,yes,Online
20,Town,yes,no,no,yes,Online
21,Town,yes,yes,no,yes,Online
22,Village,no,yes,no,yes,Offline
23,Town,no,no,yes,yes,Offline
24,Village,yes,no,yes,no,Online
25,Village,no,no,yes,yes,Online
26,Town,yes,yes,yes,yes,Offline
27,Town,yes,no,no,no,Online
28,Village,no,yes,no,yes,Offline
29,Town,yes,yes,no,yes,Online
30,Village,no,no,yes,no,Offline
31,Town,no,yes,yes,no,Online
32,Village,yes,yes,yes,yes,Offline
33,Village,no,yes,no,no,Online
34,Village,yes,no,yes,no,Offline
35,Town,yes,yes,yes,yes,Online
36,Town,yes,no,yes,yes,Online
37,Village,yes,no,no,yes,Online
38,Town,no,yes,yes,yes,Online
39,Village,no,no,no,no,Offline
40,Village,yes,yes,no,yes,Offline
41,Village,no,no,yes,no,Offline
42,Village,no,no,yes,no,Online
43,Town,yes,yes,yes,no,Offline
44,Village,yes,yes,no,yes,Offline
45,Village,no,yes,yes,no,Online
46,Village,no,no,yes,yes,Offline
47,Village,yes,no,yes,no,Offline
48,Village,no,yes,no,yes,Online
49,Town,no,yes,no,yes,Online
50,Town,no,yes,no,no,Offline
51,Village,no,no,yes,yes,Offline
52,Village,yes,yes,yes,no,Offline
53,Town,yes,yes,yes,yes,Offline
54,Village,no,no,no,no,Online
55,Town,yes,no,no,yes,Online
56,Town,no,no,no,no,Offline
57,Village,yes,no,no,yes,Offline
58,Town,yes,no,no,yes,Offline
59,Village,no,yes,no,yes,Online
60,Town,no,yes,yes,no,Online
61,Village,yes,yes,yes,yes,Online
62,Town,yes,no,yes,yes,Online
63,Village,no,no,no,yes,Online
64,Town,yes,yes,no,yes,Offline
65,Village,no,yes,no,yes,Online
66,Village,yes,yes,no,no,Offline
67,Town,yes,yes,no,yes,Offline
68,Village,no,yes,yes,no,Offline
69,Town,no,yes,no,no,Online
70,Town,no,no,yes,yes,Online
71,Village,yes,no,no,yes,Online
72,Village,no,yes,yes,no,Online
73,Village,no,yes,no,no,Online
74,Town,no,yes,yes,yes,Offline
75,Town,yes,no,yes,no,Offline
76,Town,yes,yes,yes,yes,Offline
77,Village,no,no,no,no,Offline
78,Town,yes,yes,yes,yes,Offline
79,Town,no,yes,no,no,Online
80,Village,yes,yes,yes,yes,Offline
81,Town,no,yes,yes,yes,Offline
82,Village,no,no,yes,yes,Offline
83,Village,yes,no,no,no,Online
84,Village,no,yes,no,no,Online
85,Village,yes,no,yes,no,Offline
86,Town,no,yes,yes,no,Online
87,Village,yes,no,no,no,Online
88,Village,yes,yes,no,yes,Online
89,Town,yes,no,no,no,Offline
90,Village,yes,yes,no,yes,Offline
91,Town,yes,no,no,yes,Offline
92,Town,no,yes,no,no,Online
93,Town,no,yes,yes,yes,Online
94,Village,no,no,yes,yes,Offline
95,Town,no,no,yes,yes,Offline
96,Village,yes,no,yes,yes,Online
97,Town,no,yes,yes,yes,Online
98,Village,no,no,no,yes,Offline
99,Town,no,no,no,yes,Online
100,Town,yes,yes,yes,no,Online
101,Village,no,no,no,no,Online
102,Town,yes,no,no,no,Offline
103,Village,no,yes,yes,no,Offline
104,Village,no,yes,no,no,Offline
105,Town,no,yes,yes,no,Online
106,Town,yes,no,no,no,Online
107,Village,yes,yes,no,yes,Online
108,Town,yes,no,no,yes,Offline
109,Town,yes,no,yes,yes,Online
110,Town,no,no,yes,yes,Offline
111,Village,yes,yes,yes,yes,Online
112,Village,no,no,yes,no,Offline
113,Village,yes,no,yes,yes,Offline
114,Village,no,yes,no,yes,Online
115,Town,yes,yes,no,no,Offline
116,Town,no,no,no,yes,Offline
117,Village,no,no,yes,yes,Online
118,Village,no,no,no,yes,Online
119,Town,yes,no,no,no,Offline
120,Village,yes,no,no,yes,Online
121,Village,no,no,yes,yes,Online
122,Town,yes,yes,no,yes,Offline
123,Village,yes,no,no,yes,Offline
124,Town,no,no,yes,yes,Online
125,Village,no,yes,yes,no,Online
126,Town,no,yes,no,no,Offline
127,Village,no,yes,yes,yes,Online
128,Town,yes,no,no,no,Offline
129,Town,no,no,yes,yes,Offline
130,Town,no,no,no,no,Offline
131,Village,no,no,yes,yes,Online
132,Village,no,no,no,no,Online
133,Village,no,no,yes,no,Online
134,Village,no,no,no,yes,Offline
135,Village,yes,no,yes,no,Online
136,Town,yes,no,yes,yes,Offline
137,Town,yes,no,yes,yes,Online
138,Village,no,no,yes,no,Offline
139,Town,no,yes,no,no,Offline
140,Village,no,yes,yes,yes,Offline
141,Town,no,no,no,yes,Online
142,Town,no,no,yes,no,Online
143,Village,yes,yes,no,no,Online
144,Village,no,yes,yes,yes,Offline
145,Town,yes,yes,no,no,Online
146,Town,yes,yes,yes,yes,Online
147,Village,no,yes,no,no,Online
148,Village,yes,no,yes,yes,Online
149,Town,no,no,no,no,Offline
150,Town,yes,no,no,yes,Online
151,Village,yes,no,yes,no,Online
152,Town,no,yes,yes,no,Online
153,Village,yes,no,yes,yes,Online
154,Village,no,yes,yes,no,Online
155,Town,yes,no,yes,yes,Offline
156,Village,yes,no,yes,no,Online
157,Town,yes,no,yes,yes,Offline
158,Town,no,yes,yes,no,Offline
159,Village,no,no,no,no,Online
160,Town,no,no,yes,no,Online
161,Town,no,yes,no,no,Online
162,Town,no,no,no,no,Offline
163,Town,yes,yes,yes,no,Online
164,Town,yes,yes,yes,no,Online
165,Village,no,yes,no,no,Online
166,Village,no,no,no,yes,Online
167,Town,yes,yes,no,no,Online
168,Village,yes,no,yes,yes,Offline
169,Village,no,no,no,no,Online
170,Village,no,yes,no,yes,Online
171,Town,no,yes,no,no,Offline
172,Village,no,no,no,yes,Online
173,Village,no,no,no,yes,Online
174,Town,yes,no,no,yes,Online
175,Town,no,yes,no,no,Offline
176,Village,no,no,no,no,Offline
177,Village,yes,no,yes,no,Online
178,Town,yes,no,yes,yes,Online
179,Town,yes,no,no,yes,Offline
180,Town,yes,yes,no,yes,Online
181,Village,yes,no,yes,no,Online
182,Village,no,no,no,yes,Offline
183,Town,yes,yes,yes,no,Online
184,Town,no,yes,no,no,Online
185,Town,no,yes,no,yes,Offline
186,Village,yes,no,no,no,Offline
187,Town,no,yes,no,yes,Online
188,Town,yes,no,yes,yes,Offline
189,Town,yes,yes,yes,yes,Online
190,Village,no,yes,no,yes,Offline
191,Town,yes,no,yes,no,Offline
192,Village,yes,no,yes,yes,Offline
193,Village,no,yes,no,no,Online
194,Town,no,yes,no,no,Offline
195,Town,yes,no,no,yes,Offline
196,Town,yes,yes,no,yes,Offline
197,Town,no,no,no,yes,Offline
198,Village,yes,no,yes,yes,Offline
199,Town,yes,no,no,yes,Offline
200,Village,no,no,no,no,Online
201,Town,yes,no,yes,no,Online
202,Town,yes,no,yes,yes,Offline
203,Village,no,no,no,yes,Offline
204,Town,yes,no,no,yes,Offline
205,Village,no,yes,no,yes,Online
206,Village,yes,yes,no,yes,Offline
207,Town,no,no,yes,no,Online
208,Town,no,no,no,no,Online
209,Village,yes,yes,no,yes,Offline
210,Town,yes,yes,yes,yes,Online
211,Town,no,yes,yes,yes,Online
212,Town,yes,no,no,no,Online
213,Town,no,no,yes,yes,Offline
214,Village,no,yes,no,yes,Offline
215,Town,yes,no,yes,no,Offline
216,Town,yes,yes,yes,yes,Offline
217,Village,yes,no,yes,yes,Offline
218,Village,no,no,yes,no,Offline
219,Village,no,yes,yes,yes,Online
220,Town,yes,yes,yes,yes,Online
221,Town,no,yes,no,yes,Offline
222,Town,yes,no,yes,yes,Online
223,Village,yes,yes,yes,yes,Online
224,Village,no,yes,yes,no,Offline
225,Town,no,no,yes,no,Online
226,Town,no,no,yes,yes,Offline
227,Village,no,yes,no,no,Offline
228,Town,yes,yes,yes,no,Online
229,Village,yes,yes,yes,no,Offline
230,Village,no,yes,yes,yes,Offline
231,Village,no,no,yes,yes,Offline
232,Village,yes,no,yes,yes,Offline
233,Village,no,yes,yes,no,Online
234,Town,no,no,yes,yes,Offline
235,Town,no,yes,no,no,Offline
236,Village,no,no,yes,no,Online
237,Village,no,no,yes,yes,Online
238,Town,no,yes,no,no,Online
239,Town,yes,yes,yes,no,Offline
240,Village,yes,no,no,no,Online
241,Town,no,yes,no,no,Online
242,Village,no,yes,yes,no,Online
243,Village,yes,no,yes,no,Online
244,Village,no,yes,no,no,Offline
245,Town,yes,no,yes,yes,Online
246,Town,no,no,no,yes,Offline
247,Village,yes,yes,yes,no,Online
248,Town,no,yes,no,yes,Online
249,Town,yes,yes,yes,no,Online
250,Town,no,no,no,no,Offline
251,Village,no,yes,no,yes,Online
252,Village,yes,yes,yes,no,Online
253,Town,yes,no,no,no,Online
254,Village,yes,no,no,no,Offline
255,Village,no,yes,no,no,Online
256,Village,yes,no,yes,yes,Offline
257,Town,no,yes,yes,yes,Offline
258,Town,yes,no,no,yes,Offline
259,Village,no,yes,no,yes,Offline
260,Town,yes,yes,no,yes,Online
261,Village,no,yes,yes,yes,Online
262,Town,no,no,no,no,Offline
263,Town,no,yes,no,yes,Online
264,Town,yes,no,yes,no,Online
265,Village,yes,no,no,yes,Offline
266,Town,yes,no,no,no,Online
267,Village,no,no,yes,no,Online
268,Village,no,yes,no,yes,Offline
269,Village,yes,no,no,yes,Online
270,Village,no,yes,no,no,Offline
271,Village,no,no,no,yes,Online
272,Village,yes,yes,yes,yes,Online
273,Town,no,yes,yes,yes,Online
274,Town,no,yes,no,yes,Online
275,Village,no,no,yes,yes,Online
276,Village,yes,yes,no,no,Offline
277,Village,no,yes,yes,yes,Offline
278,Town,yes,no,yes,no,Offline
279,Village,yes,yes,yes,yes,Offline
280,Village,no,no,no,yes,Online
281,Village,no,yes,yes,yes,Offline
282,Town,yes,no,no,yes,Offline
283,Town,yes,no,yes,yes,Offline
284,Town,no,no,no,yes,Offline
285,Village,yes,no,no,yes,Online
286,Town,yes,no,yes,yes,Offline
287,Town,no,no,yes,yes,Offline
288,Town,yes,no,yes,no,Online
289,Town,no,yes,no,no,Online
290,Town,yes,no,yes,yes,Online
291,Village,no,yes,yes,yes,Offline
292,Village,no,no,no,no,Offline
293,Town,no,yes,no,no,Offline
294,Town,no,yes,yes,no,Online
295,Village,yes,no,yes,yes,Offline
296,Town,yes,no,no,no,Offline
297,Village,yes,no,no,yes,Online
298,Town,no,yes,no,no,Offline
299,Town,no,yes,no,no,Online
300,Village,no,no,no,yes,Offline
301,Village,no,no,yes,yes,Offline
302,Town,no,no,yes,no,Online
303,Town,yes,no,yes,yes,Offline
304,Village,no,no,yes,no,Offline
305,Village,yes,no,no,yes,Offline
306,Town,yes,yes,no,yes,Offline
307,Town,no,yes,yes,yes,Online
308,Town,yes,no,yes,yes,Online
309,Town,no,no,yes,no,Online
310,Town,no,yes,yes,yes,Online
311,Village,yes,yes,no,yes,Offline
312,Town,yes,no,yes,yes,Online
313,Village,no,yes,yes,yes,Offline
314,Town,no,yes,yes,yes,Offline
315,Town,no,no,yes,yes,Online
316,Village,yes,yes,yes,no,Online
317,Town,yes,no,yes,no,Offline
318,Town,yes,no,yes,yes,Online
319,Town,no,no,yes,no,Online
320,Village,no,no,yes,yes,Offline
321,Village,yes,yes,yes,yes,Online
322,Town,no,yes,yes,no,Offline
323,Village,yes,yes,no,yes,Online
324,Town,yes,yes,no,yes,Online
325,Town,yes,no,yes,no,Offline
326,Town,no,no,yes,no,Offline
327,Town,no,yes,no,yes,Offline
328,Town,yes,yes,yes,yes,Online
329,Village,yes,no,yes,yes,Offline
330,Village,no,no,no,no,Offline
331,Town,no,yes,yes,no,Offline
332,Town,yes,yes,yes,yes,Offline
333,Town,no,yes,yes,no,Offline
334,Town,yes,yes,yes,yes,Offline
335,Town,yes,no,yes,no,Online
336,Village,no,no,yes,yes,Offline
337,Town,yes,no,yes,no,Online
338,Town,yes,yes,yes,yes,Online
339,Town,yes,yes,no,yes,Offline
340,Town,yes,yes,no,no,Offline
341,Village,no,yes,yes,yes,Offline
342,Town,no,yes,yes,yes,Offline
343,Town,yes,no,yes,yes,Offline
344,Village,yes,yes,no,yes,Offline
345,Town,no,yes,yes,yes,Offline
346,Town,yes,yes,no,yes,Offline
347,Village,no,no,yes,no,Offline
348,Town,no,yes,no,no,Offline
349,Town,no,no,no,no,Offline
350,Village,no,no,yes,no,Offline
351,Town,no,no,no,yes,Online
352,Town,yes,yes,yes,no,Online
353,Town,no,no,yes,no,Offline
354,Village,yes,yes,yes,no,Offline
355,Town,yes,yes,no,no,Online
356,Village,yes,yes,no,yes,Offline
357,Village,yes,yes,no,yes,Online
358,Village,no,yes,yes,no,Online
359,Village,yes,no,no,yes,Online
360,Town,no,yes,yes,no,Offline
361,Town,yes,no,yes,yes,Offline
362,Town,yes,no,yes,no,Offline
363,Town,yes,no,no,no,Online
364,Town,yes,no,no,yes,Online
365,Village,no,no,no,yes,Online
366,Village,no,no,no,no,Online
367,Town,yes,no,yes,yes,Online
368,Town,yes,no,no,yes,Online
369,Town,yes,yes,yes,yes,Online
370,Village,no,yes,yes,yes,Offline
371,Village,yes,yes,no,yes,Online
372,Village,yes,no,yes,no,Offline
373,Village,yes,no,yes,yes,Offline
374,Village,no,yes,yes,yes,Offline
375,Town,no,no,no,yes,Online
376,Village,no,yes,no,yes,Offline
377,Town,yes,no,no,yes,Online
378,Village,no,yes,no,yes,Online
379,Village,yes,yes,no,no,Offline
380,Town,yes,yes,yes,no,Online
381,Village,yes,no,yes,yes,Online
382,Village,no,yes,yes,no,Online
383,Village,yes,no,no,no,Online
384,Town,yes,yes,yes,yes,Offline
385,Village,no,yes,no,yes,Offline
386,Village,no,no,yes,yes,Online
387,Town,yes,no,no,no,Online
388,Town,yes,no,yes,no,Online
389,Town,yes,no,yes,yes,Online
390,Village,no,no,yes,yes,Offline
391,Village,no,no,no,yes,Offline
392,Town,yes,yes,yes,no,Offline
